sample_type	sampleID	PPP1R1A
Primary Tumor	TCGA-M7-A71Z-01	3.8742
Primary Tumor	TCGA-M7-A720-01	7.1801
Primary Tumor	TCGA-M7-A721-01	5.548
Primary Tumor	TCGA-M7-A722-01	4.3065
Primary Tumor	TCGA-M7-A723-01	8.4634
Primary Tumor	TCGA-M7-A724-01	3.1343
Primary Tumor	TCGA-M7-A725-01	1.7918
Primary Tumor	TCGA-MG-AAMC-01	4.0606
Primary Tumor	TCGA-QU-A6IL-01	5.8891
Primary Tumor	TCGA-QU-A6IM-01	7.8356
Primary Tumor	TCGA-QU-A6IN-01	4.1658
Primary Tumor	TCGA-QU-A6IO-01	6.284
Primary Tumor	TCGA-QU-A6IP-01	6.399
Primary Tumor	TCGA-SU-A7E7-01	4.8069
Primary Tumor	TCGA-TK-A8OK-01	7.1615
Primary Tumor	TCGA-TP-A8TT-01	5.3026
Primary Tumor	TCGA-TP-A8TV-01	5.6022
Primary Tumor	TCGA-V1-A8MF-01	5.6861
Primary Tumor	TCGA-V1-A8MG-01	3.7744
Primary Tumor	TCGA-V1-A8MJ-01	6.5144
Primary Tumor	TCGA-V1-A8MK-01	7.4075
Primary Tumor	TCGA-V1-A8ML-01	5.3074
Primary Tumor	TCGA-V1-A8MM-01	3.8816
Primary Tumor	TCGA-V1-A8MU-01	6.8081
Primary Tumor	TCGA-V1-A8WL-01	6.1802
Primary Tumor	TCGA-V1-A8WN-01	5.0834
Primary Tumor	TCGA-V1-A8WS-01	5.3973
Primary Tumor	TCGA-V1-A8WV-01	1.0578
Primary Tumor	TCGA-V1-A8WW-01	4.0054
Primary Tumor	TCGA-V1-A8X3-01	5.7054
Primary Tumor	TCGA-V1-A9O5-01	3.0183
Primary Tumor	TCGA-V1-A9O7-01	7.9973
Primary Tumor	TCGA-V1-A9O9-01	5.4873
Primary Tumor	TCGA-V1-A9OA-01	5.6841
Primary Tumor	TCGA-V1-A9OF-01	4.2087
Primary Tumor	TCGA-V1-A9OH-01	5.9441
Primary Tumor	TCGA-V1-A9OL-01	4.5615
Primary Tumor	TCGA-V1-A9OQ-01	6.0712
Primary Tumor	TCGA-V1-A9OT-01	7.2847
Primary Tumor	TCGA-V1-A9OX-01	6.3783
Primary Tumor	TCGA-V1-A9OY-01	5.978
Primary Tumor	TCGA-V1-A9Z7-01	4.9163
Primary Tumor	TCGA-V1-A9Z8-01	7.3365
Primary Tumor	TCGA-V1-A9Z9-01	5.3466
Primary Tumor	TCGA-V1-A9ZG-01	3.8652
Primary Tumor	TCGA-V1-A9ZI-01	3.6165
Primary Tumor	TCGA-V1-A9ZK-01	6.3191
Primary Tumor	TCGA-V1-A9ZR-01	5.6401
Primary Tumor	TCGA-VN-A88I-01	5.5361
Primary Tumor	TCGA-VN-A88K-01	3.8034
Primary Tumor	TCGA-VN-A88L-01	6.9717
Primary Tumor	TCGA-VN-A88M-01	5.5935
Primary Tumor	TCGA-VN-A88N-01	3.2854
Primary Tumor	TCGA-VN-A88O-01	6.2382
Primary Tumor	TCGA-VN-A88P-01	6.5743
Primary Tumor	TCGA-VN-A88Q-01	5.5454
Primary Tumor	TCGA-VN-A88R-01	4.429
Primary Tumor	TCGA-VN-A943-01	1.9523
Primary Tumor	TCGA-VP-A872-01	5.4169
Primary Tumor	TCGA-VP-A875-01	2.0992
Primary Tumor	TCGA-VP-A876-01	3.2205
Primary Tumor	TCGA-VP-A878-01	5.9704
Primary Tumor	TCGA-VP-A879-01	6.7009
Primary Tumor	TCGA-VP-A87B-01	3.1424
Primary Tumor	TCGA-VP-A87C-01	3.437
Primary Tumor	TCGA-VP-A87D-01	3.632
Primary Tumor	TCGA-VP-A87E-01	7.8411
Primary Tumor	TCGA-VP-A87H-01	4.7014
Primary Tumor	TCGA-VP-A87J-01	1.3202
Primary Tumor	TCGA-VP-A87K-01	4.02
Primary Tumor	TCGA-VP-AA1N-01	5.2394
Primary Tumor	TCGA-WW-A8ZI-01	4.7533
Primary Tumor	TCGA-X4-A8KQ-01	5.035
Primary Tumor	TCGA-X4-A8KS-01	7.435
Primary Tumor	TCGA-XA-A8JR-01	4.3983
Primary Tumor	TCGA-XJ-A83F-01	4.668
Primary Tumor	TCGA-XJ-A83G-01	5.4143
Primary Tumor	TCGA-XJ-A83H-01	3.5474
Primary Tumor	TCGA-XJ-A9DI-01	3.5556
Primary Tumor	TCGA-XJ-A9DK-01	5.1905
Primary Tumor	TCGA-XJ-A9DQ-01	7.695
Primary Tumor	TCGA-XJ-A9DX-01	1.79
Primary Tumor	TCGA-XK-AAIR-01	5.3338
Primary Tumor	TCGA-XK-AAIV-01	3.0839
Primary Tumor	TCGA-XK-AAIW-01	0.7594
Primary Tumor	TCGA-XK-AAJ3-01	3.6134
Primary Tumor	TCGA-XK-AAJA-01	4.1163
Primary Tumor	TCGA-XK-AAJP-01	6.0695
Primary Tumor	TCGA-XK-AAJR-01	6.1909
Primary Tumor	TCGA-XK-AAJT-01	6.9104
Primary Tumor	TCGA-XK-AAJU-01	5.5837
Primary Tumor	TCGA-XK-AAK1-01	5.335
Primary Tumor	TCGA-XQ-A8TA-01	0.5007
Primary Tumor	TCGA-XQ-A8TB-01	3.064
Primary Tumor	TCGA-Y6-A8TL-01	4.5065
Primary Tumor	TCGA-Y6-A9XI-01	4.7798
Primary Tumor	TCGA-YJ-A8SW-01	3.0966
Primary Tumor	TCGA-YL-A8HJ-01	6.5124
Primary Tumor	TCGA-YL-A8HK-01	5.7986
Primary Tumor	TCGA-YL-A8HL-01	3.3534
Primary Tumor	TCGA-YL-A8HM-01	1.6192
Primary Tumor	TCGA-YL-A8HO-01	6.476
Primary Tumor	TCGA-YL-A8S8-01	3.6063
Primary Tumor	TCGA-YL-A8S9-01	4.0799
Primary Tumor	TCGA-YL-A8SA-01	3.4055
Primary Tumor	TCGA-YL-A8SB-01	5.4841
Primary Tumor	TCGA-YL-A8SC-01	2.2905
