sample_type	sampleID	AQP3
Primary Tumor	TCGA-V1-A9Z8-01	10.7237
Primary Tumor	TCGA-V1-A9Z9-01	11.3539
Primary Tumor	TCGA-V1-A9ZG-01	12.9766
Primary Tumor	TCGA-V1-A9ZI-01	13.1307
Primary Tumor	TCGA-V1-A9ZK-01	10.7704
Primary Tumor	TCGA-V1-A9ZR-01	11.7016
Primary Tumor	TCGA-VN-A88I-01	11.4937
Primary Tumor	TCGA-VN-A88K-01	10.7396
Primary Tumor	TCGA-VN-A88L-01	9.9783
Primary Tumor	TCGA-VN-A88M-01	10.7454
Primary Tumor	TCGA-VN-A88N-01	12.0381
Primary Tumor	TCGA-VN-A88O-01	11.2912
Primary Tumor	TCGA-VN-A88P-01	11.4113
Primary Tumor	TCGA-VN-A88Q-01	10.5053
Primary Tumor	TCGA-VN-A88R-01	10.5649
Primary Tumor	TCGA-VN-A943-01	10.9194
Primary Tumor	TCGA-VP-A872-01	11.6436
Primary Tumor	TCGA-VP-A875-01	12.0659
Primary Tumor	TCGA-VP-A876-01	8.4021
Primary Tumor	TCGA-VP-A878-01	12.5814
Primary Tumor	TCGA-VP-A879-01	11.7411
Primary Tumor	TCGA-VP-A87B-01	11.0628
Primary Tumor	TCGA-VP-A87C-01	11.1449
Primary Tumor	TCGA-VP-A87D-01	9.3124
Primary Tumor	TCGA-VP-A87E-01	11.3147
Primary Tumor	TCGA-VP-A87H-01	12.4205
Primary Tumor	TCGA-VP-A87J-01	12.2867
Primary Tumor	TCGA-VP-A87K-01	11.0158
Primary Tumor	TCGA-VP-AA1N-01	12.0328
Primary Tumor	TCGA-WW-A8ZI-01	6.7723
Primary Tumor	TCGA-X4-A8KQ-01	12.4134
Primary Tumor	TCGA-X4-A8KS-01	11.1959
Primary Tumor	TCGA-XA-A8JR-01	10.088
Primary Tumor	TCGA-XJ-A83F-01	9.519
Primary Tumor	TCGA-XJ-A83G-01	12.3182
Primary Tumor	TCGA-XJ-A83H-01	12.9346
Primary Tumor	TCGA-XJ-A9DI-01	12.0303
Primary Tumor	TCGA-XJ-A9DK-01	13.1258
Primary Tumor	TCGA-XJ-A9DQ-01	12.0916
Primary Tumor	TCGA-XJ-A9DX-01	10.4176
Primary Tumor	TCGA-XK-AAIR-01	12.0794
Primary Tumor	TCGA-XK-AAIV-01	11.0902
Primary Tumor	TCGA-XK-AAIW-01	10.0032
Primary Tumor	TCGA-XK-AAJ3-01	10.4801
Primary Tumor	TCGA-XK-AAJA-01	11.7188
Primary Tumor	TCGA-XK-AAJP-01	8.0415
Primary Tumor	TCGA-XK-AAJR-01	10.766
Primary Tumor	TCGA-XK-AAJT-01	11.365
Primary Tumor	TCGA-XK-AAJU-01	12.537
Primary Tumor	TCGA-XK-AAK1-01	10.7845
Primary Tumor	TCGA-XQ-A8TA-01	8.8734
Primary Tumor	TCGA-XQ-A8TB-01	11.2472
Primary Tumor	TCGA-Y6-A8TL-01	11.346
Primary Tumor	TCGA-Y6-A9XI-01	11.118
Primary Tumor	TCGA-YJ-A8SW-01	11.1037
Primary Tumor	TCGA-YL-A8HJ-01	10.5886
Primary Tumor	TCGA-YL-A8HK-01	10.5807
Primary Tumor	TCGA-YL-A8HL-01	10.9189
Primary Tumor	TCGA-YL-A8HM-01	11.8325
Primary Tumor	TCGA-YL-A8HO-01	12.0751
Primary Tumor	TCGA-YL-A8S8-01	11.1071
Primary Tumor	TCGA-YL-A8S9-01	11.8892
