sample_type	sampleID	GYS2
Primary Tumor	TCGA-YL-A8SI-01	0.5963
Primary Tumor	TCGA-YL-A8SJ-01	0
Primary Tumor	TCGA-YL-A8SK-01	1.4505
Primary Tumor	TCGA-YL-A8SL-01	0
Primary Tumor	TCGA-YL-A8SO-01	0.6166
Primary Tumor	TCGA-YL-A8SP-01	0
Primary Tumor	TCGA-YL-A8SQ-01	0.6318
Primary Tumor	TCGA-YL-A8SR-01	0
Primary Tumor	TCGA-YL-A9WH-01	0
Primary Tumor	TCGA-YL-A9WI-01	0
Primary Tumor	TCGA-YL-A9WJ-01	0.4692
Primary Tumor	TCGA-YL-A9WK-01	0
Primary Tumor	TCGA-YL-A9WL-01	0.376
Primary Tumor	TCGA-YL-A9WX-01	1.2985
Primary Tumor	TCGA-YL-A9WY-01	0.4139
Primary Tumor	TCGA-ZG-A8QW-01	1.5176
Primary Tumor	TCGA-ZG-A8QX-01	0.4965
Primary Tumor	TCGA-ZG-A8QY-01	1.425
Primary Tumor	TCGA-ZG-A8QZ-01	0.4901
Primary Tumor	TCGA-ZG-A9KY-01	0.6953
Primary Tumor	TCGA-ZG-A9L0-01	1.3082
Primary Tumor	TCGA-ZG-A9L1-01	0
Primary Tumor	TCGA-ZG-A9L2-01	0.4893
Primary Tumor	TCGA-ZG-A9L4-01	0
Primary Tumor	TCGA-ZG-A9L5-01	0
Primary Tumor	TCGA-ZG-A9L6-01	0
